user,name,notes
AP,,
cnnbrk,,
CNBC,,
newscientist,,
TechCrunch,,
dwnews,,
espn,,
newsycombinator,,
Stanford,,
ScienceMagazine,,
ScienceAdvances,,
Nature,,
CellPressNews,,
Bitcoin,,
ethereum,,
arxivblog,,
biorxivpreprint,,
scell_papers,,
TrendsCognSci,,
CryptoTrends,,
TrendsImmuno,,
DigitalTrends,,
NIH,,
huggingface,,
slatestarcodex,,
FrontAIBigData,,
FrontNeurosci,,
business,,
sc_papers,,
pfizer,,
10xGenomics,,
moderna_tx,,
BDBiosciences,,
elonmusk,,
BillGates,,
JeffBezos,,
Apple,,
Amazon,,
jack,,
Microsoft,,
netflix,,
BCILifeSciences,,
gatesfoundation,,
weatherchannel,,
NWS,,
CDCgov,,
UN,,
KremlinRussia_E,,
POTUS,,
BarackObama,,
Twitter,,
NASA,,
UN,,
KremlinRussia_E,,
POTUS,,
BarackObama,,
Twitter,,
NASA,,
narendramodi,,
nytimes,,
WSJ,,
pkedrosky,,
naval,,
GoldmanSachs,,
ritholtz,,
DavidSchawel,,
wallstreetmojo,,
howardlindzon,,
conorsen,,
ReformedBroker,,
mark_dow,,
MebFaber,,
SushiSwap,,
frxresearch,,
masonnystrom,,
ZeMariaMacedo,,
mdudas,,
katherineykwu,,
lopp,,
_Checkmatey_,,
BBCScienceNews,,
TheScientistLLC,,
neiltyson,,
ProfBrianCox,,
RichardDawkins,,
deborahblum,,
Scicurious,,
RebeccaSkloot,,
RichardWiseman,,
vaughanbell,,
bengoldacre,,
neuroconscience,,
edyong209,,
CNN,,
FoxNews,,
OANN,,
BreitbartNews,,
drudgereport,,
HuffPost,,
nytimes,,
nytimesworld,,
NatureNeuro,,
OpenAI,,
GoogleAI,,
AndrewYNg,,
kaifulee,,
nntaleb,,
sapinker,,
SadhguruJV,,
dailyTaoTeChing,,
NIVBible,,
Pontifex,,
NatureNeuro,,
OpenAI,,
GoogleAI,,
AndrewYNg,,
kaifulee,,
nntaleb,,
sapinker,,
business,,
markets,,
technology,,
wealth,,
bpolitics,,
crypto,,
climate,,
BBGEquality,,
economics,,
BLaw,,
luxury,,
tax,,
technology,,
wealth,,
bpolitics,,
crypto,,
climate,,
BBGEquality,,
economics,,
BLaw,,
luxury,,
tax,,
medrxivpreprint,,
BotArxiv,,
balajis,,
mtaibbi,,
goodnewsnetwork,,